2023-09-09 00:12:49,005 Thread-2 (run) ParseResult(scheme='', netloc='', path='/contact', params='', query='', fragment='')
2023-09-09 00:12:49,016 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 00:12:49,257 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 00:21:18,948 Thread-2 (run) ParseResult(scheme='', netloc='', path='/', params='', query='', fragment='')
2023-09-09 00:21:19,050 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 00:21:19,206 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 00:21:20,404 Thread-2 (run) ParseResult(scheme='', netloc='', path='/', params='', query='', fragment='')
2023-09-09 00:21:20,708 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 00:21:20,708 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 00:21:21,565 Thread-2 (run) ParseResult(scheme='', netloc='', path='/message', params='', query='', fragment='')
2023-09-09 00:21:21,877 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 00:21:21,878 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 00:21:23,269 Thread-2 (run) ParseResult(scheme='', netloc='', path='/contact', params='', query='', fragment='')
2023-09-09 00:21:23,578 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 00:21:23,579 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 00:21:24,549 Thread-2 (run) ParseResult(scheme='', netloc='', path='/message', params='', query='', fragment='')
2023-09-09 00:21:24,858 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 00:21:24,859 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 00:31:29,032 Thread-2 (run) ParseResult(scheme='', netloc='', path='/', params='', query='', fragment='')
2023-09-09 00:31:29,043 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 00:31:29,347 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 00:31:30,979 Thread-2 (run) ParseResult(scheme='', netloc='', path='/contact', params='', query='', fragment='')
2023-09-09 00:31:31,088 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 00:31:31,229 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 00:31:32,685 Thread-2 (run) ParseResult(scheme='', netloc='', path='/', params='', query='', fragment='')
2023-09-09 00:31:32,998 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 00:31:32,999 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 00:31:33,693 Thread-2 (run) ParseResult(scheme='', netloc='', path='/message', params='', query='', fragment='')
2023-09-09 00:31:33,997 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 00:31:34,012 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 00:32:31,394 Thread-2 (run) ParseResult(scheme='', netloc='', path='/', params='', query='', fragment='')
2023-09-09 00:32:31,408 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 00:32:31,709 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 00:32:33,454 Thread-2 (run) ParseResult(scheme='', netloc='', path='/contact', params='', query='', fragment='')
2023-09-09 00:32:33,533 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 00:32:33,721 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 00:32:34,564 Thread-2 (run) ParseResult(scheme='', netloc='', path='/', params='', query='', fragment='')
2023-09-09 00:32:34,882 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 00:32:34,882 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 00:32:36,710 Thread-2 (run) ParseResult(scheme='', netloc='', path='/message', params='', query='', fragment='')
2023-09-09 00:32:37,015 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 00:32:37,016 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 00:32:42,916 Thread-2 (run) ParseResult(scheme='', netloc='', path='/message', params='', query='', fragment='')
2023-09-09 00:32:42,926 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 00:32:43,230 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 00:32:43,938 Thread-2 (run) ParseResult(scheme='', netloc='', path='/message', params='', query='', fragment='')
2023-09-09 00:32:44,031 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 00:32:44,201 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 00:32:44,490 Thread-2 (run) ParseResult(scheme='', netloc='', path='/message', params='', query='', fragment='')
2023-09-09 00:32:44,800 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 00:32:44,800 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 00:32:45,472 Thread-2 (run) ParseResult(scheme='', netloc='', path='/contact', params='', query='', fragment='')
2023-09-09 00:32:45,789 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 00:32:45,790 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 00:39:01,953 Thread-2 (run) ParseResult(scheme='', netloc='', path='/', params='', query='', fragment='')
2023-09-09 00:39:02,037 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 00:39:02,209 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 00:39:02,635 Thread-2 (run) ParseResult(scheme='', netloc='', path='/message', params='', query='', fragment='')
2023-09-09 00:39:02,942 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 00:39:02,942 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 00:39:03,387 Thread-2 (run) ParseResult(scheme='', netloc='', path='/contact', params='', query='', fragment='')
2023-09-09 00:39:03,702 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 00:39:03,702 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 00:39:16,986 Thread-2 (run) ParseResult(scheme='', netloc='', path='/message', params='', query='', fragment='')
2023-09-09 00:39:17,300 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 00:39:17,300 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 00:39:24,007 Thread-1 (run_socket_server) Connection from ('192.168.0.2', 52512)
2023-09-09 00:39:24,011 Thread-1 (run_socket_server) received message: 
2023-09-09 00:40:10,388 Thread-2 (run) ParseResult(scheme='', netloc='', path='/', params='', query='', fragment='')
2023-09-09 00:40:10,388 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 00:40:10,708 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 00:42:09,183 Thread-2 (run) ParseResult(scheme='', netloc='', path='/contact', params='', query='', fragment='')
2023-09-09 00:42:09,262 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 00:42:09,446 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 00:42:09,906 Thread-2 (run) ParseResult(scheme='', netloc='', path='/message', params='', query='', fragment='')
2023-09-09 00:42:10,216 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 00:42:10,217 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 00:42:10,586 Thread-2 (run) ParseResult(scheme='', netloc='', path='/', params='', query='', fragment='')
2023-09-09 00:42:10,903 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 00:42:10,903 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 00:42:11,315 Thread-2 (run) ParseResult(scheme='', netloc='', path='/message', params='', query='', fragment='')
2023-09-09 00:42:11,630 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 00:42:11,631 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 00:42:17,866 Thread-1 (run_socket_server) Connection from ('192.168.0.2', 52598)
2023-09-09 00:42:17,866 Thread-1 (run_socket_server) received message: 
2023-09-09 00:42:18,175 Thread-2 (run) ParseResult(scheme='', netloc='', path='/contact', params='', query='', fragment='')
2023-09-09 00:42:18,501 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 00:42:18,502 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 20:21:32,648 Thread-2 (run) ParseResult(scheme='', netloc='', path='/', params='', query='', fragment='')
2023-09-09 20:21:32,671 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 20:21:32,899 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 20:21:33,219 Thread-2 (run) ParseResult(scheme='', netloc='', path='/favicon.ico', params='', query='', fragment='')
2023-09-09 20:21:36,335 Thread-2 (run) ParseResult(scheme='', netloc='', path='/', params='', query='', fragment='')
2023-09-09 20:21:36,653 Thread-2 (run) ParseResult(scheme='', netloc='', path='/style.css', params='', query='', fragment='')
2023-09-09 20:21:36,654 Thread-2 (run) ParseResult(scheme='', netloc='', path='/logo.png', params='', query='', fragment='')
2023-09-09 20:21:37,312 Thread-2 (run) ParseResult(scheme='', netloc='', path='/message', params='', query='', fragment='')
